Results for random mutation strategy

Trial, % identity

1, 0.7214397496087637
2, 0.7136150234741784
3, 0.6979655712050078
4, 0.6979655712050078
5, 0.6525821596244131
6, 0.6823161189358372
7, 0.6870109546165885
8, 0.6870109546165885
9, 0.6776212832550861
10, 0.702660406885759
11, 0.6604068857589984
12, 0.6588419405320813
13, 0.6932707355242567
14, 0.6838810641627543
15, 0.6572769953051644
16, 0.6885758998435054
17, 0.6901408450704225
18, 0.702660406885759
19, 0.6823161189358372
20, 0.704225352112676
21, 0.6995305164319249
22, 0.6901408450704225
23, 0.7073552425665102
24, 0.6666666666666666
25, 0.6932707355242567
26, 0.676056338028169
27, 0.6838810641627543
28, 0.6557120500782473
29, 0.7167449139280125
30, 0.6776212832550861
31, 0.676056338028169
32, 0.6948356807511737
33, 0.6666666666666666
34, 0.7057902973395931
35, 0.6776212832550861
36, 0.6885758998435054
37, 0.7355242566510172
38, 0.6854460093896714
39, 0.6932707355242567
40, 0.6995305164319249
41, 0.7057902973395931
42, 0.6557120500782473
43, 0.6885758998435054
44, 0.6964006259780907
45, 0.6854460093896714
46, 0.651017214397496
47, 0.6917057902973396
48, 0.6964006259780907
49, 0.6917057902973396
50, 0.7214397496087637
51, 0.701095461658842
52, 0.702660406885759
53, 0.6917057902973396
54, 0.7073552425665102
55, 0.6885758998435054
56, 0.6791862284820032
57, 0.6791862284820032
58, 0.7104851330203443
59, 0.6901408450704225
60, 0.7214397496087637
61, 0.6776212832550861
62, 0.6917057902973396
63, 0.6572769953051644
64, 0.6854460093896714
65, 0.6713615023474179
66, 0.6807511737089202
67, 0.6776212832550861
68, 0.6776212832550861
69, 0.7073552425665102
70, 0.6666666666666666
71, 0.7089201877934272
72, 0.6870109546165885
73, 0.6885758998435054
74, 0.7136150234741784
75, 0.6885758998435054
76, 0.7136150234741784
77, 0.7089201877934272
78, 0.6776212832550861
79, 0.6948356807511737
80, 0.701095461658842
81, 0.6885758998435054
82, 0.6995305164319249
83, 0.6901408450704225
84, 0.6901408450704225
85, 0.6744913928012519
86, 0.6823161189358372
87, 0.6651017214397497
88, 0.7120500782472613
89, 0.6838810641627543
90, 0.6651017214397497
91, 0.701095461658842
92, 0.704225352112676
93, 0.6697965571205008
94, 0.6791862284820032
95, 0.7167449139280125
96, 0.6823161189358372
97, 0.7073552425665102
98, 0.6901408450704225
99, 0.6682316118935837
100, 0.6964006259780907


Results for targeted mutation strategy

Trial, % identity

1, 0.8403755868544601
2, 0.8419405320813772
3, 0.8560250391236307
4, 0.8544600938967136
5, 0.8482003129890454
6, 0.8294209702660407
7, 0.8482003129890454
8, 0.8497652582159625
9, 0.8356807511737089
10, 0.8341158059467919
11, 0.8497652582159625
12, 0.8685446009389671
13, 0.8544600938967136
14, 0.8716744913928013
15, 0.8419405320813772
16, 0.8560250391236307
17, 0.86697965571205
18, 0.8513302034428795
19, 0.8607198748043818
20, 0.8528951486697965
21, 0.8528951486697965
22, 0.8466353677621283
23, 0.8482003129890454
24, 0.8497652582159625
25, 0.8560250391236307
26, 0.8622848200312989
27, 0.8513302034428795
28, 0.8497652582159625
29, 0.8513302034428795
30, 0.8247261345852895
31, 0.8450704225352113
32, 0.8685446009389671
33, 0.8560250391236307
34, 0.8575899843505478
35, 0.8716744913928013
36, 0.8513302034428795
37, 0.8591549295774648
38, 0.8513302034428795
39, 0.837245696400626
40, 0.8513302034428795
41, 0.8560250391236307
42, 0.8560250391236307
43, 0.8810641627543035
44, 0.8466353677621283
45, 0.8466353677621283
46, 0.8497652582159625
47, 0.8497652582159625
48, 0.8591549295774648
49, 0.8528951486697965
50, 0.8544600938967136
51, 0.8356807511737089
52, 0.8309859154929577
53, 0.8482003129890454
54, 0.8482003129890454
55, 0.8544600938967136
56, 0.837245696400626
57, 0.8575899843505478
58, 0.8450704225352113
59, 0.8513302034428795
60, 0.838810641627543
61, 0.8732394366197183
62, 0.8513302034428795
63, 0.8403755868544601
64, 0.8513302034428795
65, 0.8341158059467919
66, 0.8482003129890454
67, 0.8701095461658842
68, 0.8528951486697965
69, 0.8716744913928013
70, 0.8466353677621283
71, 0.8560250391236307
72, 0.8513302034428795
73, 0.8466353677621283
74, 0.8325508607198748
75, 0.865414710485133
76, 0.8231611893583725
77, 0.8591549295774648
78, 0.8560250391236307
79, 0.8575899843505478
80, 0.8622848200312989
81, 0.8622848200312989
82, 0.8701095461658842
83, 0.8497652582159625
84, 0.8528951486697965
85, 0.8528951486697965
86, 0.837245696400626
87, 0.863849765258216
88, 0.8419405320813772
89, 0.8466353677621283
90, 0.8513302034428795
91, 0.838810641627543
92, 0.8685446009389671
93, 0.8482003129890454
94, 0.8325508607198748
95, 0.8716744913928013
96, 0.8685446009389671
97, 0.8435054773082942
98, 0.8450704225352113
99, 0.8450704225352113
100, 0.8294209702660407


